ID,Tweet Content,Likes,Retweets,Replies,Tweet Creation Date,Engagement,Engagement_Level,Emocion,Intensidad,Prob_Emocion
11,"Estoy tardando en subir el podcast de hoy porque he tenido bastantes problemas técnicos (gracias Vegas), pero os prometo que no os lo esperáis y que valdrá MUCHO la pena. En un rato lo tendréis en el canal, un poquito de paciencia...",8572,100,62,2022-01-27 17:14:55,8734,Medio,Neutral,Alta,0.766
12,"Spoiler
No queda mucho para esto: hoy me visita el tío que se pasó el god of war en máxima dificultad…",45080,1584,305,2022-01-27 18:08:28,46969,Alto,Neutral,Alta,0.948
13,"NUEVO PODCAST
El Rubius en The Wild Project. Poco más que decir.
Disfruten todos ",29491,1269,170,2022-01-27 19:37:43,30930,Alto,Alegría,Alta,0.974
14,"Si Spotify pone pasta para fichar a Haaland, para mí como si el Camp Nou pasa a llamarse ""Lista de reproducción Stadium"".",26924,1410,142,2022-01-27 20:29:26,28476,Alto,Neutral,Alta,0.987
15,¿Por qué estáis todos tan amargados en Twitter?,47524,2357,1187,2022-01-29 15:08:51,51068,Viral,Enfado,Alta,0.847
16,"No sé por qué le dais tanta importancia a lo de Benidorm, si Eurovision van a ganar estas bestias alemanas

https://
youtu.be/OnzkhQsmSag",2431,202,79,2022-01-30 00:16:49,2712,Bajo,Enfado,Alta,0.92
17,Rafa Nadal es lo mejor que ha parido España. Y punto.,32057,1275,285,2022-01-30 15:06:36,33617,Alto,Alegría,Alta,0.988
18,"¿Queréis sentiros viejos?
Final Fantasy VII acaba de cumplir 25 años…",13063,389,177,2022-01-31 14:28:30,13629,Alto,Neutral,Alta,0.968
19,"NUEVO PODCAST
Tertulia en The Wild Project, como cada semana con los temas más interesantes de los últimos días. ¡Se os quiere!

https://
youtu.be/tx7SJK_VEug",1551,35,27,2022-02-01 15:50:22,1613,Bajo,Alegría,Alta,0.986
20,"Mi sesión con 
@elxokas
 es un mix de una pareja enamorada a punto de casarse y los dos primos gamberros el día de su comunión. No entiendo nada.",73932,3102,345,2022-02-01 18:34:07,77379,Viral,Neutral,Alta,0.938
21,Basta ya,80625,3476,263,2022-02-02 16:40:46,84364,Viral,Neutral,Media,0.643
22,"Entrevista que le han hecho a mi maravilloso padre 
@PapaGiorgioReal
 en el periódico de su ciudad 
Está en catalán pero los navegadores lo traducen automáticamente.",1788,48,18,2022-02-03 15:24:11,1854,Bajo,Neutral,Alta,0.909
23,"NUEVO PODCAST
David Saavedra, que estuvo buena parte de su vida dentro del movimiento nazi y consiguió salir, me visita y tenemos una larga charla sobre la radicalización y su propia experiencia. Muy interesante, no os lo podéis perder.",2673,199,107,2022-02-03 15:43:01,2979,Medio,Alegría,Alta,0.966
24,"Va Cholo, pon un par más de defensas que solo perdéis de 3.",16725,373,67,2022-02-06 16:25:19,17165,Alto,Neutral,Alta,0.978
25,Laporta ha conseguido más por el Barça en unos meses que Bartomeu en 5 años. Mi tweet más basado.,33306,1706,242,2022-02-07 22:38:41,35254,Alto,Neutral,Alta,0.973
26, choca,19462,302,572,2022-02-08 13:41:22,20336,Alto,Neutral,Baja,0.445
27,"NUEVO PODCAST
Nueva tertulia de la semana en The Wild Project.",1115,41,30,2022-02-08 15:59:46,1186,Bajo,Neutral,Alta,0.982
28,la madre que os parió,18417,779,91,2022-02-09 22:40:04,19287,Alto,Neutral,Media,0.668
29,HOLA QUE TAL BUENAS TARDES ESPERO QUE ESTEN MUY BIEN BUENAS TARDES,16674,387,245,2022-02-10 13:50:26,17306,Alto,Neutral,Alta,0.872
30,"NUEVO PODCAST
Cris Gutiérrez, 3a clasificada del Dakar,me visita para una charla llena de aventuras y anécdotas brutales ",1332,58,36,2022-02-10 16:41:03,1426,Bajo,Alegría,Alta,0.986
31,La prensa cada vez que un youtuber hace una cagada,17491,434,53,2022-02-11 17:21:05,17978,Alto,Neutral,Alta,0.791
32,Ojalá los buenos combates de la UFC duraran 10 asaltos.,8640,156,67,2022-02-13 05:40:07,8863,Medio,Neutral,Alta,0.973
33,"A mí la SUPERBOWL me da igual, no voy a aparentar que me interesa como a casi todos sin tener ni puta idea.
Pero el halftime show de Dr. Dre, Snoop Dogg, Eminem, Kendrick Lamarr y Mary J Blidge es de lo mejor que he visto en la vida.",16074,979,192,2022-02-14 02:31:13,17245,Alto,Neutral,Media,0.728
34,El único rapero legendario que faltó en el Halftime de la Superbowl,32587,1580,133,2022-02-14 02:45:04,34300,Alto,Neutral,Alta,0.987
35,Mi San Valentín 2022,27156,1367,70,2022-02-14 22:32:30,28593,Alto,Alegría,Media,0.601
36,"NUEVO PODCAST
Tertulia semanal en The Wild Project. ¡No os la podéis perder!

https://
youtu.be/u2univQCdEI",1142,40,12,2022-02-15 16:02:21,1194,Bajo,Neutral,Media,0.621
37,Perdón me dejé EL OTRO GRANDE DEL MUNDO DEL RAP,5932,177,45,2022-02-15 18:24:30,6154,Medio,Neutral,Alta,0.921
38,"Cuando este tweet llegue a 20.000 likes, pondré una respuesta con un código del CYBERPUNK 2077 para PC, un regalito para vosotros ",29795,294,194,2022-02-17 15:18:26,30283,Alto,Alegría,Media,0.709
39,"NUEVO PODCAST
Pedro Baños 
@geoestratego
 me visita al The Wild Project para charlar de geopolítica y cómo funciona el mundo de verdad, en uno de los episodios más interesantes. ¡No os lo perdáis!",1889,220,73,2022-02-17 15:47:43,2182,Bajo,Alegría,Alta,0.957
40,La defensa del Barça,15112,536,75,2022-02-17 18:33:15,15723,Alto,Neutral,Alta,0.949
41,"Fuera de bromas, el Barça ha hecho un partido para ganar de sobras, sobre todo hacia el final.
¡Sigo subido en la XAVINETA hasta que derrape del todo hostia!",14916,752,151,2022-02-17 19:45:35,15819,Alto,Neutral,Alta,0.785
42,"Esta noche estaré en #Horizonte con mi querido Iker Jiménez 
@navedelmisterio
 
¡Estad atentos al programa, en Cuatro, porque ahí podréis verme hablando de un tema bastante duro y trágico que ha pasado esta semana!
Besos",3204,90,33,2022-02-17 22:35:22,3327,Medio,Alegría,Media,0.695
43,"Aquí está (GOG): C3VNC2977F1196EFC4
El primero que lo pille, se lo lleva.",2604,21,40,2022-02-18 15:09:51,2665,Bajo,Neutral,Alta,0.931
44,"Ya sabéis que no soy demasiado de superhéroes, pero PEACEMAKER me ha ENCANTADO. La bso es brutal si te gusta el hard rock y acaba siendo una comedia loca con nazis y ciencia ficción.
Encima cuando toca el drama lo hace con gusto.
¡Un 10!
Ah, y John Cena es la polla.",15504,726,151,2022-02-20 15:58:46,16381,Alto,Alegría,Alta,0.996
45,¡Desde ya Paracetamor VS Ari el puto MAIN EVENT de la velada!,43186,916,184,2022-02-20 20:40:20,44286,Alto,Alegría,Alta,0.828
46,"Mañana analizaré LA VELADA DEL AÑO 2 en The Wild Project, y en unos días tendréis algo muy especial junto a mi querido 
@IbaiLlanos
.
Tened paciencia que os encantará ",21247,428,71,2022-02-20 21:43:37,21746,Alto,Alegría,Alta,0.963
47,Jagger va a ganar los 5 combates.,31338,770,103,2022-02-20 22:15:56,32211,Alto,Neutral,Alta,0.988
48,"NUEVO PODCAST
La tertulia de la semana en The Wild Project. Análisis de la velada de Ibai y mucho más 

https://
youtu.be/HRuY_3ZbJ7k",1364,43,27,2022-02-22 15:36:24,1434,Bajo,Neutral,Alta,0.984
49,Doy 4 bitcoins y un beso en el medio del culo a quien me dé una key anticipada del ELDEN RING para poder jugar YA,18986,320,207,2022-02-22 19:10:28,19513,Alto,Neutral,Alta,0.782
50,Maldito Miyazaki hijo de puta lo has vuelto a hacer…,6698,274,44,2022-02-23 22:29:30,7016,Medio,Enfado,Alta,0.797
51,Rusia y Ucrania:,40214,2657,195,2022-02-24 14:01:15,43066,Alto,Neutral,Alta,0.988
52,Por si aca,86497,6753,582,2022-02-24 15:17:55,93832,Viral,Neutral,Alta,0.951
53,"NUEVO PODCAST
El The Wild Project con mayo envergadura hasta el momento, sin duda. Nacho Vidal in da haus.",2150,51,45,2022-02-24 15:57:10,2246,Bajo,Neutral,Media,0.739
54,El podcast con Nacho Vidal ha sido la polla la verdad.,24048,399,225,2022-02-24 19:48:30,24672,Alto,Alegría,Alta,0.968
55,esto qué mierda es me quiero pegar un tiro en los cojones,159172,6698,2036,2022-02-26 13:18:19,167906,Viral,Sorpresa,Media,0.72
56,Papagiorgiorex777,6709,122,31,2022-02-26 21:48:41,6862,Medio,Neutral,Alta,0.765
57,"Me gustaría poder traeros bromas, salseos o novedades, pero es que todo mi fin de semana me lo he pasado dentro del culo de ELDEN RING. Y lo que me queda…",9866,137,71,2022-02-27 21:46:10,10074,Alto,Neutral,Alta,0.874
58,Qué pena que Xavi no viniera hace meses…,28850,1060,185,2022-02-27 21:54:12,30095,Alto,Tristeza,Media,0.593
59,"NUEVO PODCAST

@IbaiLlanos
 se vino al The Wild Project para un doble episodio especial. Hoy, la tertulia como cada semana, donde ambos analizaremos los temas más interesantes de los últimos días.",6755,258,39,2022-03-01 15:36:14,7052,Medio,Neutral,Alta,0.946
60,Hoy me siento muy bien en el podcast ayudando a streamers pequeños como Ibai a que sean un poco más conocidos.,42829,932,243,2022-03-01 16:22:43,44004,Alto,Alegría,Alta,0.994
61,"Hola hermosuras,
Estoy buscando editores para hacer clips del podcast para tik tok, facebook e instagram, si tenéis experiencia comprobable (con reel) y queréis trabajar conmigo, enviad mail con info y CV a trabajo@jordiwild.com
Remunerado por supuesto.",10372,305,171,2022-03-02 18:40:26,10848,Alto,Neutral,Media,0.697
62,"NUEVO PODCAST
Segunda parte de la visita de 
@IbaiLlanos
 al Wild Project, en este caso centrada en su propia vida. ¡Una maravilla!

https://
youtu.be/ls0jdo2vSVY",2386,79,25,2022-03-03 15:29:12,2490,Bajo,Alegría,Alta,0.992
63,"Oye 
@IbaiLlanos
 hemos hackeado Youtube",31398,607,107,2022-03-03 23:04:33,32112,Alto,Neutral,Alta,0.939
64,Después de ver la follada de Residente a Balvin creo que me abstendré del sexo durante meses. He quedado lleno.,45564,1911,215,2022-03-05 16:21:04,47690,Alto,Neutral,Media,0.68
65,"¡TODOS A LA XAVINETA, RÁPIDO QUE NO ESPERA!",26807,1051,243,2022-03-06 17:32:04,28101,Alto,Alegría,Alta,0.842
66,"El Xokas es nuestro padre, y no hay más que hablar.",39024,1771,262,2022-03-08 14:45:19,41057,Alto,Alegría,Media,0.525
67,"NUEVO PODCAST
Tertulia repleta de noticias interesantes 
¡¡Todo el mundo a verlo!!",1312,49,34,2022-03-08 16:06:10,1395,Bajo,Alegría,Alta,0.944
68,"En mi época, para hacerte el chulo tenías que fumar.
Hoy en día, para hacerte el culo tienes que decir que juegas a Elden Ring.",29936,1047,398,2022-03-09 19:53:50,31381,Alto,Neutral,Alta,0.981
69,"PSG
Paquetes
Sin
Ganar",20813,966,161,2022-03-09 22:45:16,21940,Alto,Neutral,Alta,0.945
70,"NUEVO PODCAST
Arturo Pérez-Reverte me visita para un podcast muy especial. Spoiler: es un crack y alguien que os va a sorprender.

https://
youtu.be/-K329j0iN5o",2427,289,90,2022-03-10 15:29:42,2806,Medio,Alegría,Media,0.728
71,"Me encanta este 
@toninievas
, aunque tenga pinta de psycho killer de los 70. Muy recomendable su programa de entrevistas, además es colega, echadle un vistacillo. Es como The Wild Project pero con 4 tripis de más.",720,13,5,2022-03-10 19:40:57,738,Bajo,Alegría,Alta,0.93
72,HOLA BUENAS TARDES FELIS VIERNES AMIGOS,13168,356,161,2022-03-11 14:21:32,13685,Alto,Alegría,Alta,0.924
73,Luka Doncic es el mejor jugador de la NBA a día de hoy. Y no admito discusión.,11220,513,529,2022-03-12 05:37:22,12262,Alto,Neutral,Media,0.55
74,Willy y Staxx jugando COD de nuevo es lo único que puede salvar al mundo de la destrucción.,54286,2824,101,2022-03-13 21:19:44,57211,Viral,Alegría,Media,0.528
75,"NUEVO PODCAST
Tertulia en el proyecto salvaje del wild comentando las noticias más interesantes de las últimas semanas. ¡Se os quiere!",1573,47,29,2022-03-15 15:32:14,1649,Bajo,Alegría,Alta,0.994
76,El cerebro del que ha diseñado los mapas en Elden Ring.,22512,909,174,2022-03-16 18:31:42,23595,Alto,Neutral,Alta,0.986
77,"NUEVO PODCAST
En uno de los podcast más duros hasta el momento, Pablo Salum 
@LEYANTISECTAS
 me visita para contarme su terrible historia, de como se escapó de la secta en la que su familia aún está. De visión obligada.

https://
youtu.be/khJeCzG2u1c",1460,111,22,2022-03-17 15:58:33,1593,Bajo,Neutral,Alta,0.976
78,La última vez que participé de un acto sexual yo era el espermatozoide,48007,4905,207,2022-03-18 15:20:52,53119,Viral,Neutral,Alta,0.941
79,TWITTER QUÉ COJONES PASA AQUÍ,13797,442,287,2022-03-18 16:18:46,14526,Alto,Sorpresa,Alta,0.764
80,"ELDEN RING finalizado.
Domingo nuevo vídeo en El Rincón de Giorgio ",10449,133,93,2022-03-18 20:39:19,10675,Alto,Neutral,Alta,0.925
81,"INTERNAUTAS coño hoy mirando unas fotos de cuándo papagiorgio era más joven aquí estoy con el amor de mi vida mi querida Juanita, qué hace 43 años qué estamos juntos y nos seguimos queriendo mucho esto es el cariño, respeto y confianza entre los dos, abuelas estoy marriet coño ",4482,132,46,2022-03-19 19:57:26,4660,Medio,Alegría,Alta,0.957
82,"AMIGOS Y AMIGAS
Hoy, después de un mes y medio, vuelvo al RINCÓN DE GIORGIO con un vídeazo de 40 minutos sobre Jeffrey Epstein. De mis mejores investigaciones/resúmenes de la vida de alguien.
¡Dadle mucho amor!

En minutos en mi canal ",22299,585,209,2022-03-20 14:43:26,23093,Alto,Alegría,Alta,0.995
83,"En serio, ¿Qué os habéis tomado este fin de semana? Calmaros un poquito que ya estoy mayor para tanto show.",41272,944,303,2022-03-20 14:50:58,42519,Alto,Enfado,Media,0.554
84,"NUEVO VÍDEO
Toda la verdad sobre Jeffrey Epstein, sus abusos, su casas con cámaras, su isla privada, sus contactos, la lista... Y por supuesto la extrañísima muerte.
¡Vuelvo con fuerza al principal!",3719,155,82,2022-03-20 15:14:18,3956,Medio,Neutral,Baja,0.487
85,Yo este fin de semana en twitter,57688,3282,363,2022-03-20 17:51:08,61333,Viral,Neutral,Alta,0.973
86,El Barça está en modo FULL XAVINETA,27042,1215,131,2022-03-20 20:37:38,28388,Alto,Neutral,Alta,0.989
87,"Xavi cogió a un equipo deprimido, triste y perdido. Unos meses después, el Barça ilusiona, marca goles con facilidad, presiona y juega bien.
¡Todos a la XAVINETA ya!",36455,2660,233,2022-03-20 21:12:30,39348,Alto,Alegría,Alta,0.97
88,"#wildcris
-Abuelo: Quién ha roto la ventana?
-Los primos:",2986,86,7,2022-03-22 21:19:11,3079,Medio,Neutral,Alta,0.787
89,Hoy he subido a un taxi que estaba escuchando The Wild Project. Mi cara al escuchar mi voz:,51903,1570,143,2022-03-24 15:28:47,53616,Viral,Neutral,Media,0.725
90,"NUEVO PODCAST
Especial sobre la GUERRA DE UCRANIA Y RUSIA, con Memorias de Pez. Me lo habíais pedido, y aquí lo tenéis ",1944,91,44,2022-03-24 16:05:15,2079,Bajo,Neutral,Alta,0.925
91,Gracias Will Smith por darme contenido para el podcast.,82425,1896,513,2022-03-28 03:18:48,84834,Viral,Neutral,Alta,0.841
92,"¿Oscars, esto que es? Yo he venido a hostiar.",29797,827,233,2022-03-28 04:35:07,30857,Alto,Neutral,Media,0.552
93,"NUEVO PODCAST
La tertulia como cada semana con las noticias más interesantes. Will Smith, gracias por todo.",1894,66,26,2022-03-29 14:45:14,1986,Bajo,Alegría,Alta,0.975
94,"INTERNAUTAS Muchas gracias, ya me estoy recuperando a la espera que me operen NAUR preocuparse estoy como un toro coño jajajaja ",52859,1469,904,2022-03-29 16:15:32,55232,Viral,Alegría,Alta,0.932
95,Hay dos grandes tipos de persona en el mundo: los que escriben jaja y los que escriben haha,37881,1419,1243,2022-03-29 19:58:10,40543,Alto,Neutral,Alta,0.986
96,Cuando pienso que en el especial THE WILD PROJECT 150 voy a estar 25 horas seguidas de podcast en directo me dan ganas de retirarme en el 149.,24044,399,241,2022-03-30 13:24:17,24684,Alto,Neutral,Alta,0.962
97,"Noticias muy trágicas, Bruce Willis, uno de los grandes, se retira por una enfermedad degenerativa: afasia.
Hagamos un homenaje recordando su brutal carrera.
¿Cuál es su mejor película? (Solo caben cuatro menciones)",4088,191,281,2022-03-30 23:48:53,4560,Medio,Tristeza,Alta,0.983
98,"NUEVO PODCAST

@3gerardpique
 se viene al Project y me cuenta algunas historias dignas de American Pie 6. Es para quererlo ",10112,652,161,2022-03-31 13:56:45,10925,Alto,Alegría,Alta,0.988
99,"Lo siento amigos, pero no votar Die Hard (La Jungla de Cristal en ESPAÑITA) es un crimen contra la humanidad",1914,45,86,2022-03-31 14:03:08,2045,Bajo,Enfado,Baja,0.461
100,"Para los que os mola el tema extraterrestre, interesantísimo vídeo de mi tertuliano 
@fugastronautica
 con mi aparición estelar como gran experto mundial en el tema ",1236,35,10,2022-04-01 17:12:12,1281,Bajo,Neutral,Alta,0.961
101,La JORDINETA ya ha llegado,21847,691,254,2022-04-01 18:04:49,22792,Alto,Neutral,Alta,0.785
102,"Malas noticias
Esta semana no va a haber Tertulia en The Wild Project porque estoy con un gripazo espectacular (de momento no es covid), y ya veremos si hay 1vs1...
Una pena porque esta semana venía todo un capo de internet, y ahí dejo la pista.
¡Ya os voy informando amores!",10767,185,201,2022-04-03 16:08:16,11153,Alto,Tristeza,Baja,0.466
103,Este tweet es simplemente para recordaros que Pedri tiene tan solo 19 años.,32392,1422,161,2022-04-03 20:36:25,33975,Alto,Neutral,Alta,0.981
104,"Se habla mucho de Haaland y Mbappé, pero cuánto valdría Pedri hoy si se pusiera a la venta…",28951,950,582,2022-04-03 20:56:30,30483,Alto,Neutral,Alta,0.983
105,Mucho cachondeo con la guerra del mural de reddit hasta que el primer país lance un misil.,21067,598,107,2022-04-04 16:08:25,21772,Alto,Neutral,Alta,0.851
106,"Tengo muchas ganas de hacer un podcast de ciencia y curiosidades (cualquier tipo), ¿me recomendáis a alguien muy top y que se exprese bien?
Da igual España o LATAM.",27965,429,2870,2022-04-04 16:45:29,31264,Alto,Neutral,Alta,0.93
107,"Hoy cumple años AKIRA TORIYAMA, creador de Dr. Slump.",21081,466,197,2022-04-05 15:31:21,21744,Alto,Neutral,Alta,0.84
108,"La gripe ha sido intensa pero corta, ya hoy me encuentro de puta madre por lo que grabaré podcast para que mañana tengáis vuestra dosis semanal del Proyecto Salvaje.
Volvemos a la ciencia con una de las leyendas de la divulgación en español... no os digo más ",9868,145,106,2022-04-06 16:59:32,10119,Alto,Alegría,Alta,0.923
109,"NUEVO PODCAST
¡Vuelve la SIENSIA a The Wild Project!

@ldobartra
 me visita para charlar del Universo, de extraterrestres y de su libro Luna de Plutón. ¡Todos a verlo mis panas!

https://
youtu.be/t9UJYI89NZs",2296,124,62,2022-04-07 14:17:55,2482,Bajo,Alegría,Alta,0.978
110,"Lo siento pero Kingdom Hearts 4 me da una pereza extrema. Saturado quedé de tíos encapuchados y con cremalleras filosofando para acabar diciendo que son muy malos porque el mundo les ha hecho así.
Nomura vete a dormir un rato por favor.",7640,272,179,2022-04-10 17:39:54,8091,Medio,Enfado,Alta,0.903
111,"NUEVO PODCAST
Retorna la tertulia al Wild Project, todo el mundo a verlo que hay muchos temitas interesantes ",1521,30,36,2022-04-12 14:43:58,1587,Bajo,Neutral,Alta,0.947
112,No me atrevo aún a reírme del Madrid para no gafar al Chelsea,14515,330,329,2022-04-12 20:36:04,15174,Alto,Neutral,Alta,0.907
113,Me cago en dios,15400,499,297,2022-04-12 20:37:43,16196,Alto,Enfado,Media,0.508
114,A ver si algún día entiendo como el Madrid puede jugar tan mal y acabar ganando casi siempre igual.,35119,2385,789,2022-04-12 21:08:25,38293,Alto,Enfado,Media,0.608
115,Lo del Madrid no tiene explicación.,20361,512,322,2022-04-12 21:47:26,21195,Alto,Sorpresa,Media,0.719
116,Solo los OG entienden la referencia,6876,276,97,2022-04-14 14:19:12,7249,Medio,Neutral,Alta,0.993
117,"NUEVO PODCAST
Aquí no se descansa por Semana Santa, y os traigo un podcast brutal con Gervasio Deferr 
@gervideferr
 con el que hablaremos de sus increíbles éxitos, pero también de sus momentos más bajos, las drogas el alcohol y la mala vida.",959,48,23,2022-04-14 14:29:25,1030,Bajo,Alegría,Media,0.655
118,Hoy la Xavineta va sin gasolina.,25059,882,274,2022-04-14 20:04:45,26215,Alto,Neutral,Alta,0.981
119,"A ver, que no os estáis enterando, el Barça no quiere ganar un título tan poco importante como la Europa League. No es digno de nosotros, y ya está.",14310,747,382,2022-04-14 20:27:57,15439,Alto,Neutral,Media,0.719
120,"Cosas seguras de nuestra era:
- Xokas tendrá liada semanal
- Willy venderá algún nft
- Jordi Wild irá en tirantes
- El Barça hará el ridículo en Europa",22615,858,134,2022-04-14 20:40:45,23607,Alto,Neutral,Alta,0.979
121,¿Seguís subidos en la XAVINETA?,1955,110,299,2022-04-14 23:39:44,2364,Bajo,Neutral,Alta,0.96
122,Madrid qué pesao eres,20569,532,242,2022-04-17 20:57:23,21343,Alto,Enfado,Alta,0.824
123,Me explica alguien por qué ahora el xokas es futbolista del Cádiz,9069,560,122,2022-04-19 02:48:50,9751,Medio,Neutral,Alta,0.876
124,"NUEVO PODCAST
Tertulia para hablar de las cositas que han pasado en los últimos días, ¡No os lo podéis perder!",1264,47,19,2022-04-19 15:05:11,1330,Bajo,Alegría,Alta,0.905
125,"Si tenéis problemas para ver mis vídeos en app por culpa de que se os haya puesto solo el MODO RESTRINGIDO, reiniciad el router y, en teoría, vuelve a la normalidad. También podéis quitar el wifi y volver a ponerlo.
Parece ser que es culpa de Vodafone…",3466,54,46,2022-04-20 14:06:44,3566,Medio,Enfado,Alta,0.781
126,Quisiera ser una mosca para posarme en tu piel.,20914,1237,287,2022-04-21 00:06:44,22438,Alto,Neutral,Alta,0.98
127,"NUEVO PODCAST
Un ex-miembro de las Fuerzas Especiales me visita para un podcast donde escucharéis algunas historias absolutamente increíbles, duras y terroríficas. Su entreno inhumano, su lucha contra los narcos... ¡No os lo podéis perder!",2470,104,52,2022-04-21 14:35:46,2626,Bajo,Alegría,Alta,0.942
128,Lo más grande que vais a ver hoy,32422,1582,305,2022-04-21 20:40:50,34309,Alto,Alegría,Alta,0.991
129,Una de las cosas que más me está flipando del juicio entre Johnny Depp y Amber Heard es que ella literalmente replica los looks de él al día siguiente. ,10865,1767,264,2022-04-23 17:34:21,12896,Alto,Sorpresa,Alta,0.789
130,Sabes que vives la vida intensamente si el emoji que más usas es este: ,8813,230,212,2022-04-23 17:47:19,9255,Medio,Neutral,Alta,0.99
131,Hoy es el santo de vuestros padres,13822,193,62,2022-04-23 19:57:07,14077,Alto,Neutral,Media,0.593
132,HOLA BUENAS TARDES A TODOS OS QUIERO ADIOS,6964,151,77,2022-04-24 15:31:34,7192,Medio,Neutral,Media,0.718
133,"Twitter hoy en día:
- 30% conflicto y hate por cualquier tema
- 20% dramas personales y quejas del estado de ánimo
- 49% memes
- 1% porno tan duro que ni en xvideos",27629,1859,227,2022-04-24 15:51:07,29715,Alto,Neutral,Alta,0.921
134,"Me encantaría traer al podcast a 
@nayibbukele
, presidente de El Salvador y alguien que creo que podría dar mucho juego, de los pocos políticos que creo que se mojaría.
Invitación formal hecha ",31034,1874,723,2022-04-24 19:25:04,33631,Alto,Neutral,Alta,0.969
135,ELON MUSK HOLA TE QUIERO,30648,963,158,2022-04-25 23:15:34,31769,Alto,Neutral,Alta,0.884
136,"NUEVO PODCAST
Mi hermano 
@JaSantaolalla
 vuelve a The Wild Project para un doble episodio, hoy tertulia y jueves Especial Ciencia con él. ¡Viejos sabrosos al poder!",3837,156,64,2022-04-26 14:07:55,4057,Medio,Alegría,Alta,0.994
137,"Hola 
@QuantumFracture
 te acuerdas de mí¿? ¿Cuándo me vienes a ver? Besos ",14299,207,94,2022-04-26 16:37:10,14600,Alto,Neutral,Alta,0.874
138,Benzema eres muy pesao,20501,603,141,2022-04-26 19:41:56,21245,Alto,Enfado,Alta,0.877
139,"Lo del Madrid no tiene ningún puto sentido, a ver si con suerte el City les mete 30 goles (y aún así serían capaces de remontar).",10404,323,115,2022-04-26 20:27:59,10842,Alto,Enfado,Alta,0.907
140,"Lo bueno es que ahora todo el mundo piensa que el Madrid va a llegar a la final, y eso es lo que hará que el City les meta un saco de goles.
Guardad tweet.",18883,1232,990,2022-04-26 20:55:04,21105,Alto,Neutral,Alta,0.91
141,"Eres un cabrón Tiparraco, y me debes dinerito.",1857,32,14,2022-04-27 18:29:05,1903,Bajo,Enfado,Alta,0.783
142,"NO AUTORIZO

No autorizo a que no me beséis ahora mismo, bribones.",11739,332,90,2022-04-28 00:54:56,12161,Alto,Enfado,Alta,0.897
143,"NUEVO PODCAST

@JaSantaolalla
 y yo 3 horas hablando del Universo, de física, de la velocidad de la luz, del sentido de la vida... y de pirulas. ¿Quién da más? No os lo perdáis porque es una maravilla.",2977,150,50,2022-04-28 14:59:19,3177,Medio,Alegría,Alta,0.973
144,Mino Raiola revive más veces que Krilin.,7346,226,39,2022-04-28 15:21:30,7611,Medio,Neutral,Alta,0.906
