ID,Palabras_Clave,Emocion,Intensidad,Engagement,Engagement_Level,Tweet Creation Date,Prob_Emocion
89,"subido, taxi, estaba, escuchando, wild",Neutral,Media,53616,Viral,2022-03-24 15:28:47,0.725
90,"nuevo, podcast, especial, guerra, ucrania",Neutral,Alta,2079,Bajo,2022-03-24 16:05:15,0.925
91,"gracias, will, smith, darme, contenido",Neutral,Alta,84834,Viral,2022-03-28 03:18:48,0.841
92,"oscars, venido, hostiar",Neutral,Media,30857,Alto,2022-03-28 04:35:07,0.552
93,"nuevo, podcast, tertulia, cada, semana",Alegría,Alta,1986,Bajo,2022-03-29 14:45:14,0.975
94,"internautas, muchas, gracias, estoy, recuperando",Alegría,Alta,55232,Viral,2022-03-29 16:15:32,0.932
95,"grandes, tipos, persona, mundo, escriben",Neutral,Alta,40543,Alto,2022-03-29 19:58:10,0.986
96,"pienso, especial, wild, project, estar",Neutral,Alta,24684,Alto,2022-03-30 13:24:17,0.962
97,"noticias, trágicas, bruce, willis, grandes",Tristeza,Alta,4560,Medio,2022-03-30 23:48:53,0.983
98,"nuevo, podcast, viene, project, cuenta",Alegría,Alta,10925,Alto,2022-03-31 13:56:45,0.988
99,"siento, amigos, votar, hard, jungla",Enfado,Baja,2045,Bajo,2022-03-31 14:03:08,0.461
100,"mola, tema, extraterrestre, interesantísimo, vídeo",Neutral,Alta,1281,Bajo,2022-04-01 17:12:12,0.961
101,"jordineta, llegado",Neutral,Alta,22792,Alto,2022-04-01 18:04:49,0.785
102,"malas, noticias, semana, haber, tertulia",Tristeza,Baja,11153,Alto,2022-04-03 16:08:16,0.466
103,"tweet, simplemente, recordaros, pedri, tiene",Neutral,Alta,33975,Alto,2022-04-03 20:36:25,0.981
104,"habla, mucho, haaland, mbappé, cuánto",Neutral,Alta,30483,Alto,2022-04-03 20:56:30,0.983
105,"mucho, cachondeo, guerra, mural, reddit",Neutral,Alta,21772,Alto,2022-04-04 16:08:25,0.851
106,"tengo, muchas, ganas, hacer, podcast",Neutral,Alta,31264,Alto,2022-04-04 16:45:29,0.93
107,"cumple, años, akira, toriyama, creador",Neutral,Alta,21744,Alto,2022-04-05 15:31:21,0.84
108,"gripe, sido, intensa, corta, encuentro",Alegría,Alta,10119,Alto,2022-04-06 16:59:32,0.923
109,"nuevo, podcast, vuelve, siensia, wild",Alegría,Alta,2482,Bajo,2022-04-07 14:17:55,0.978
110,"siento, kingdom, hearts, pereza, extrema",Enfado,Alta,8091,Medio,2022-04-10 17:39:54,0.903
111,"nuevo, podcast, retorna, tertulia, wild",Neutral,Alta,1587,Bajo,2022-04-12 14:43:58,0.947
112,"atrevo, reírme, madrid, gafar, chelsea",Neutral,Alta,15174,Alto,2022-04-12 20:36:04,0.907
113,"cago, dios",Enfado,Media,16196,Alto,2022-04-12 20:37:43,0.508
114,"algún, entiendo, madrid, jugar, acabar",Enfado,Media,38293,Alto,2022-04-12 21:08:25,0.608
115,"madrid, tiene, explicación",Sorpresa,Media,21195,Alto,2022-04-12 21:47:26,0.719
116,"solo, entienden, referencia",Neutral,Alta,7249,Medio,2022-04-14 14:19:12,0.993
117,"nuevo, podcast, descansa, semana, santa",Alegría,Media,1030,Bajo,2022-04-14 14:29:25,0.655
118,"xavineta, gasolina",Neutral,Alta,26215,Alto,2022-04-14 20:04:45,0.981
119,"estáis, enterando, quiere, ganar, título",Neutral,Media,15439,Alto,2022-04-14 20:27:57,0.719
120,"cosas, seguras, nuestra, xokas, tendrá",Neutral,Alta,23607,Alto,2022-04-14 20:40:45,0.979
121,"seguís, subidos, xavineta",Neutral,Alta,2364,Bajo,2022-04-14 23:39:44,0.96
122,"madrid, pesao, eres",Enfado,Alta,21343,Alto,2022-04-17 20:57:23,0.824
123,"explica, alguien, xokas, futbolista, cádiz",Neutral,Alta,9751,Medio,2022-04-19 02:48:50,0.876
124,"nuevo, podcast, tertulia, hablar, cositas",Alegría,Alta,1330,Bajo,2022-04-19 15:05:11,0.905
125,"tenéis, problemas, vídeos, culpa, haya",Enfado,Alta,3566,Medio,2022-04-20 14:06:44,0.781
126,"quisiera, mosca, posarme, piel",Neutral,Alta,22438,Alto,2022-04-21 00:06:44,0.98
127,"nuevo, podcast, miembro, fuerzas, especiales",Alegría,Alta,2626,Bajo,2022-04-21 14:35:46,0.942
128,"grande, vais",Alegría,Alta,34309,Alto,2022-04-21 20:40:50,0.991
129,"cosas, está, flipando, juicio, entre",Sorpresa,Alta,12896,Alto,2022-04-23 17:34:21,0.789
130,"sabes, vives, vida, intensamente, emoji",Neutral,Alta,9255,Medio,2022-04-23 17:47:19,0.99
131,"santo, vuestros, padres",Neutral,Media,14077,Alto,2022-04-23 19:57:07,0.593
132,"hola, buenas, tardes, quiero, adios",Neutral,Media,7192,Medio,2022-04-24 15:31:34,0.718
133,"twitter, conflicto, hate, cualquier, tema",Neutral,Alta,29715,Alto,2022-04-24 15:51:07,0.921
134,"encantaría, traer, podcast, nayibbukele, presidente",Neutral,Alta,33631,Alto,2022-04-24 19:25:04,0.969
135,"elon, musk, hola, quiero",Neutral,Alta,31769,Alto,2022-04-25 23:15:34,0.884
136,"nuevo, podcast, hermano, jasantaolalla, vuelve",Alegría,Alta,4057,Medio,2022-04-26 14:07:55,0.994
137,"hola, quantumfracture, acuerdas, cuándo, vienes",Neutral,Alta,14600,Alto,2022-04-26 16:37:10,0.874
138,"benzema, eres, pesao",Enfado,Alta,21245,Alto,2022-04-26 19:41:56,0.877
139,"madrid, tiene, ningún, puto, sentido",Enfado,Alta,10842,Alto,2022-04-26 20:27:59,0.907
140,"bueno, mundo, piensa, madrid, llegar",Neutral,Alta,21105,Alto,2022-04-26 20:55:04,0.91
141,"eres, cabrón, tiparraco, debes, dinerito",Enfado,Alta,1903,Bajo,2022-04-27 18:29:05,0.783
142,"autorizo, beséis, mismo, bribones",Enfado,Alta,12161,Alto,2022-04-28 00:54:56,0.897
143,"nuevo, podcast, jasantaolalla, horas, hablando",Alegría,Alta,3177,Medio,2022-04-28 14:59:19,0.973
144,"mino, raiola, revive, veces, krilin",Neutral,Alta,7611,Medio,2022-04-28 15:21:30,0.906
145,"hagáis, estáis, preocupados, whatsapp, escribe",Neutral,Media,22036,Alto,2022-04-28 21:13:02,0.537
146,"nuevo, podcast, cada, semana, tertulia",Alegría,Alta,1032,Bajo,2022-05-03 15:20:38,0.966
147,"mañana, encontramos, maravilla, cartel, ocurrido",Neutral,Alta,2080,Bajo,2022-05-04 10:01:46,0.891
148,"mañana, gran, iker, jiménez, navedelmisterio",Alegría,Alta,8384,Medio,2022-05-04 13:30:50,0.935
149,"quiero, felicitar, real, madrid, champions",Enfado,Alta,42950,Alto,2022-05-04 21:48:57,0.762
150,"culés, mismo",Neutral,Alta,16826,Alto,2022-05-04 22:32:57,0.982
151,"nuevo, podcast, regresa, iker, jiménez",Alegría,Alta,1521,Bajo,2022-05-05 14:09:23,0.994
152,"hermosos, queréis, conseguir, ballantine, moxxi",Alegría,Alta,794,Bajo,2022-05-05 14:23:42,0.874
153,"nominar, oscars, amber, heard, gran",Neutral,Alta,59749,Viral,2022-05-05 14:43:32,0.97
154,"noche, épica, tengo, ganas, llegue",Alegría,Alta,3803,Medio,2022-05-06 16:13:01,0.897
155,"único, equipo, tiene, derecho, ganar",Alegría,Alta,9275,Medio,2022-05-07 19:33:41,0.931
156,"mejores, historia",Alegría,Baja,5696,Medio,2022-05-08 03:54:34,0.473
157,"canelo, siempre, equipo",Alegría,Alta,16501,Alto,2022-05-08 05:08:11,0.763
158,"nuevo, podcast, tertulia, cada, semana",Alegría,Alta,1290,Bajo,2022-05-10 13:48:55,0.981
159,"cumpleaños, padre, años, gran, edad",Alegría,Alta,40355,Alto,2022-05-11 15:04:05,0.996
160,"calvos, favoritos",Alegría,Alta,1240,Bajo,2022-05-11 19:46:53,0.838
161,"frenkie, jong, vaya, cualquier, otro",Neutral,Alta,27654,Alto,2022-05-12 01:46:02,0.98
162,"nuevo, vídeo, genio, figura, lmdshow",Alegría,Alta,7368,Medio,2022-05-12 15:06:29,0.819
163,"bitcoins, mismo",Neutral,Alta,21354,Alto,2022-05-13 22:03:26,0.981
164,"eurovision, solo, interesan, memes, españa",Neutral,Alta,18004,Alto,2022-05-14 20:09:32,0.93
165,"gana, españa, tweet, anterior, nada",Neutral,Alta,10845,Alto,2022-05-14 22:05:51,0.779
166,"acabo, vídeo, psicópata, entrando, armado",Sorpresa,Baja,111901,Viral,2022-05-15 15:02:20,0.468
167,"podemos, reconocer, luka, doncic, mejor",Neutral,Alta,20173,Alto,2022-05-16 01:59:47,0.946
168,"nuevo, podcast, cada, semana, tertulia",Neutral,Alta,2243,Bajo,2022-05-17 14:50:17,0.95
169,"faltaba, irnos, tomar, culo, viruela",Enfado,Media,22271,Alto,2022-05-18 21:38:39,0.749
170,"espero, japoneses, hayan, actualizado, edificios",Neutral,Media,15672,Alto,2022-05-19 01:25:25,0.672
171,"nuevo, podcast, oriol, junqueras, visita",Neutral,Media,3068,Medio,2022-05-19 14:20:13,0.591
172,encanta,Alegría,Alta,4269,Medio,2022-05-19 20:03:41,0.795
173,"únicos, pueden, salvar, culés, liverpool",Neutral,Media,42310,Alto,2022-05-20 14:01:59,0.622
174,"mbappé, ridículo, histórico, años, dando",Enfado,Alta,44835,Alto,2022-05-21 18:59:17,0.895
175,"nuevo, podcast, nueva, tertulia, wild",Neutral,Alta,1782,Bajo,2022-05-24 14:51:56,0.974
176,"nuevo, podcast, fundadores, globalia, visita",Neutral,Media,1177,Bajo,2022-05-26 16:17:32,0.631
177,"algún, partidillo, equipos, amateurs",Neutral,Alta,16032,Alto,2022-05-28 15:46:24,0.995
178,"liverpool, desde, nací",Neutral,Alta,25407,Alto,2022-05-28 19:06:39,0.77
179,"objetivamente, épica, remontadas, surrealistas, madrid",Neutral,Alta,19542,Alto,2022-05-28 21:03:45,0.863
180,"ojalá, liverpool, marque, madrid",Neutral,Alta,8481,Medio,2022-05-28 21:27:09,0.982
181,"madrid, ganando, champions, superar, solo",Sorpresa,Alta,91688,Viral,2022-05-28 21:34:28,0.946
182,madrid,Neutral,Media,15022,Alto,2022-05-28 22:11:31,0.521
183,"solo, pudiera, borrar, cosa, tierra",Neutral,Alta,11368,Alto,2022-05-29 20:14:37,0.968
184,"apetece, montón, semana, volver, rincón",Alegría,Alta,31493,Alto,2022-05-31 11:56:39,0.99
185,"nuevo, podcast, tertulia, semanal, vuestro",Neutral,Alta,1044,Bajo,2022-05-31 14:45:11,0.978
186,"tamayo, somos, nosotros, intentando, vivir",Neutral,Alta,5349,Medio,2022-05-31 18:40:37,0.977
187,"disney, puedes, dejar, matar, star",Neutral,Media,26045,Alto,2022-06-01 03:13:50,0.646
188,"espera, veredicto, juicio, johnny, depp",Neutral,Alta,18453,Alto,2022-06-01 18:36:53,0.947
189,"johnny, depp",Neutral,Alta,96015,Viral,2022-06-01 19:47:54,0.951
190,"domingo, regreso, rincón, giorgio, oficial",Neutral,Alta,12759,Alto,2022-06-02 12:27:16,0.829
191,"nuevo, podcast, darma, visita, charla",Neutral,Media,1661,Bajo,2022-06-02 15:09:31,0.703
192,"creé, canal, subir, entero, gameplay",Neutral,Alta,13870,Alto,2022-06-03 00:31:13,0.941
193,"acerca, época, tener, buena, salud",Neutral,Alta,62607,Viral,2022-06-04 12:17:21,0.885
194,"gente, preguntan, estoy, partido, djmariio",Alegría,Alta,15142,Alto,2022-06-04 18:10:30,0.983
195,"mucho, destapado, bote, ketchup, tamayostuff",Neutral,Alta,6072,Medio,2022-06-05 00:46:02,0.976
196,"nuevo, vídeo, prometido, deuda, regreso",Neutral,Alta,2751,Bajo,2022-06-05 14:11:52,0.803
197,"rafa, nadal, puto, padre, españa",Alegría,Alta,20326,Alto,2022-06-05 15:32:56,0.874
198,"pruebas, mejor, culo, españa, superáis",Sorpresa,Alta,33300,Alto,2022-06-07 13:22:09,0.774
199,"nuevo, podcast, nueva, tertulia, semanal",Neutral,Alta,1119,Bajo,2022-06-07 14:44:51,0.962
200,"gente, estoy, preparando, debate, capitalismo",Neutral,Alta,48123,Alto,2022-06-07 19:51:44,0.916
201,"nuevo, podcast, reúno, intenso, conoceremos",Alegría,Alta,1748,Bajo,2022-06-09 15:01:55,0.901
202,"pregunta, cuándo, empieza",Neutral,Alta,11397,Alto,2022-06-09 22:55:57,0.989
203,"verdad, entiendo, remake, last, juego",Enfado,Alta,12214,Alto,2022-06-09 23:14:11,0.888
204,"justo, semana, estaré, punto, empezar",Alegría,Alta,17110,Alto,2022-06-11 12:15:52,0.994
205,"serio, gente, quiere, follar, vaporeon",Sorpresa,Media,32459,Alto,2022-06-12 15:48:29,0.75
206,"junio, wild, project, miércoles, entrevista",Alegría,Alta,7844,Medio,2022-06-13 21:53:55,0.979
207,"nuevo, podcast, siro, lópez, pasa",Alegría,Alta,2021,Bajo,2022-06-15 14:58:31,0.908
208,"final, fantasy, rebirth, hype, putas",Sorpresa,Media,5260,Medio,2022-06-16 22:25:39,0.543
209,"diego, ruzzarin, estaba, invitado, podido",Enfado,Alta,7474,Medio,2022-06-17 14:12:14,0.912
210,"twitter, traigo, comunista, militante, hate",Enfado,Alta,7430,Medio,2022-06-17 14:54:33,0.869
211,"resumen, creo, idea, debate, entre",Neutral,Alta,13064,Alto,2022-06-17 15:07:04,0.975
212,"dejemos, drama, sábado, junio, hora",Neutral,Alta,4576,Medio,2022-06-17 20:50:18,0.978
213,"resubido, tweet, había, equivocado, hora",Neutral,Alta,1924,Bajo,2022-06-17 20:52:19,0.926
214,"empieza, horas, directo, https, youtu",Neutral,Media,6684,Medio,2022-06-18 13:39:11,0.691
215,"horas, directo, wild, project, podcast",Neutral,Alta,3277,Medio,2022-06-18 14:08:41,0.86
216,"número, tendencias, youtube, gracias, habéis",Alegría,Alta,20006,Alto,2022-06-19 21:16:25,0.993
217,"cosas, bonitas, wild, project, familia",Alegría,Alta,11292,Alto,2022-06-22 10:36:04,0.996
218,"nuevo, podcast, dross, tenemos, charlita",Alegría,Media,3539,Medio,2022-06-23 14:48:51,0.747
219,"preguntan, poder, estar, invitado, maravillosa",Alegría,Alta,26446,Alto,2022-06-23 20:46:13,0.99
220,"mejor, combate, diferencia, momo, viruzz",Alegría,Media,46228,Alto,2022-06-25 02:22:06,0.733
221,"viene, solo, pido, jagger, logan",Neutral,Alta,67485,Viral,2022-06-26 14:56:33,0.91
222,"daros, noticia, padre, sido, operado",Alegría,Alta,38503,Alto,2022-06-26 18:32:13,0.98
223,"juro, skrillex, primo, cuenca",Neutral,Alta,68299,Viral,2022-06-26 19:24:43,0.866
224,"último, podcast, antes, vacaciones, tertulia",Alegría,Media,2495,Bajo,2022-06-28 14:31:58,0.531
225,"ghislaine, maxwell, amante, confidente, jeffrey",Asco,Baja,13555,Alto,2022-06-28 22:39:39,0.447
226,"pues, parece, espectacular, muchos, metaleros",Alegría,Alta,33188,Alto,2022-07-06 18:18:30,0.996
227,"elon, musk, final, compra, twitter",Neutral,Alta,20178,Alto,2022-07-10 12:29:49,0.965
228,"intentado, hacer, kamehameha, junto, compañeros",Neutral,Alta,16489,Alto,2022-07-10 13:00:35,0.93
229,"vale, acaba, mundo",Neutral,Alta,16467,Alto,2022-07-12 00:58:29,0.919
230,"mejor, visto, muchos, años",Alegría,Alta,3096,Medio,2022-07-12 19:43:52,0.958
231,"netflix, favor, deja, adaptar, animes",Enfado,Alta,23092,Alto,2022-07-15 16:13:58,0.857
232,"pasado, tener, subir, chaval, alevín",Neutral,Media,30139,Alto,2022-07-16 12:14:52,0.654
233,"esperando, tarde, paseo, tanto, calor",Neutral,Alta,10367,Alto,2022-07-20 13:53:55,0.986
234,"final, temporada, taberna, albert, motenai",Neutral,Alta,1089,Bajo,2022-07-20 15:46:35,0.964
235,"vacaciones, tiempo, mundo, vuelve, completamente",Neutral,Alta,13344,Alto,2022-07-20 20:17:55,0.904
236,"hubiera, encantado, estar, estrena, rubiusx",Alegría,Alta,14830,Alto,2022-07-21 18:53:33,0.994
237,"veces, algo, pequeño, suelo, entra",Neutral,Media,12547,Alto,2022-07-24 14:43:44,0.709
238,"contestad, emoji, gusta, atrae, persona",Neutral,Alta,23848,Alto,2022-07-26 20:50:34,0.962
239,"grande, eres, brandon, moreno",Alegría,Alta,8210,Medio,2022-07-31 03:51:07,0.993
240,"entro, twitter, después, bastante, tiempo",Neutral,Alta,18682,Alto,2022-08-02 20:57:17,0.975
241,"podría, mejor, foto, historia, ovni",Sorpresa,Alta,105870,Viral,2022-08-14 14:10:56,0.978
242,"black, freezer, basta, inclusión, forzada",Enfado,Alta,20960,Alto,2022-08-19 21:50:42,0.939
243,"contento, amigo, pablo, salum, leyantisectas",Alegría,Alta,6685,Medio,2022-08-20 01:16:23,0.996
244,"temporada, nueva, madrid, sigue, siendo",Enfado,Alta,14046,Alto,2022-08-20 21:31:55,0.801
245,"famosos, verano, fotos, yates, mansiones",Neutral,Media,18723,Alto,2022-08-26 14:49:17,0.68
246,,Neutral,Media,12779,Alto,2022-08-28 18:59:47,0.522
247,"cumplo, años",Alegría,Alta,64589,Viral,2022-08-29 00:41:31,0.849
248,"llega, septiembre, terminan, vacaciones, regresa",Alegría,Alta,15814,Alto,2022-09-01 17:54:01,0.987
249,"xavineta, turbo",Neutral,Alta,15588,Alto,2022-09-03 20:56:43,0.886
250,"rewind, hispano, mueve, habrá",Neutral,Alta,31349,Alto,2022-09-04 16:45:07,0.987
251,"septiembre, vuelve, wild, project, comenzamos",Alegría,Alta,20502,Alto,2022-09-05 17:44:32,0.989
252,"mensaje, importante",Neutral,Alta,8619,Medio,2022-09-07 11:46:59,0.963
253,"queen, when, meghan, markle, comes",Neutral,Alta,717623,Viral,2022-09-08 13:15:29,0.846
254,"nuevo, vídeo, regresa, wild, project",Alegría,Alta,5317,Medio,2022-09-08 13:53:11,0.986
255,"foto, actualicéis, miniaturas, nada",Neutral,Alta,13947,Alto,2022-09-08 16:20:41,0.993
256,"amigos, streamers, youtubers, regresado, después",Neutral,Media,34760,Alto,2022-09-09 12:59:54,0.732
257,"tony, ferguson, nate, díaz, llega",Alegría,Alta,2406,Bajo,2022-09-11 04:05:57,0.89
